27;Good Buy Auto;Startup;http://goodbuyauto.it;Startup del settore automotive ad alto contenuto tecnologico che lavora su sistemi neurali e di intelligenza artificiale;Milano;Lombardia;Automotive;si, la usa;Machine/Deep Learning;;;Utilizzo;;;;;;;;Utilizzo;google;paolo merialdo;valossa;fuel;axyon;indigo ai;;;;;;;
28;MEFI - UniPV;Università;https://www.facebook.com/groups/bigmefi/;Laboratorio di data science dell'Università di Pavia, precedentemente laboratorio di data mining (dal 2001) coordinato dal Prof. Paolo Giudici. Si occupa di applicazioni dei metodi di AI, Machine Learning, Network science all'economia e ad alla finanza (in particolare al fintech);Pavia;Lombardia;Economia e Finanza / Fintech /Assicurazioni, Ricerca Applicata / Statistica;si, la fornisce;Machine/Deep Learning, Sistemi Esperti;;;Fornisco;;;;;;;;Fornisco;Sirti;Mediolanum;Nexi;Amazon;Google;Alibaba;;;;;;;
29;Heres;Azienda;https://heres.ai/;Heres srl ha sviluppato una piattaforma proprietaria per la creazione di chatbot multicanale. La tecnologia integra algoritmi best of breed di machine learning e NLP ed è basata su API per consentire non solo conversazioni ma anche task operativi, interagendo con i sistemi informativi del Cliente.;Bologna;Emilia-Romagna;eCommerce, Retail, Servizi;si, la usa, si, la fornisce;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Chatbot;;;;;;;;;;;Utilizzo, Fornisco;Eudata;Indigo;INNAAS;Indigo;Conversate AI;e-novia;;;;;;;
30;DISIM - UnivAQ;Università;http://www.disim.univaq.it;Gruppo di ricerca Intelligenza Artificiale e Agenti;L'Aquila;Abruzzo;Educazione, Ricerca Applicata / Statistica, Robotica;si, la fornisce;Logic Multi Agent System Framework DALI;Utilizzo;Utilizzo;;;;;Fornisco;Utilizzo;Utilizzo;;Fornisco;Omron;Indigo;SPEE ;SPEE;Omron;Elif Lab;;;;;;;
31;Vidiemme Consulting;Azienda;https://www.vidiemme.it/;Dal 2004 porta innovazione tecnologica e di processo ai propri Clienti, sviluppando progetti in ambito web, mobile, wearable e connected device. Si avvale di un approccio consulenziale volto a comprendere le esigenze e gli obiettivi aziendali per sviluppare soluzioni tecnologiche integrate.;Milano;Lombardia;Sviluppo software custom;si, la usa;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Chatbot;;;;;;;;;;;Utilizzo;Conversate;Fluel;Eudata;e-Novia;Assist;IIT (Istituto Italiano di Tecnologia);;;;;;;
32;Reveal;Azienda;http://www.revealsrl.it/;Start-up presso l'Università di Roma, Tor Vergata. Opera nelle tecnologie della conoscenza agenti su dati non strutturati. Fornisce servizi per la elaborazione linguistica, la ricerca documentale intelligente basata su semantica e l’apprendimento automatico, e il social media analytics. ;Roma;Lazio;Economia e Finanza / Fintech /Assicurazioni, Industria pesante, Pubblicità / Marketing, Ricerca Applicata / Statistica, Sicurezza / Cybersecurity;si, la usa, si, la fornisce;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Recommender Systems, Cognitive Cybersecurity;;;Fornisco;Fornisco;;;;;;;Fornisco;UniCredit;Leonardo;Elettronica S.p.A.;ABI;MEF;ENAV;;;;;;;
33;Hopenly;Azienda;http://www.hopenly.com;Dai registri hardware agli archivi sanitari, dai social media ai sensori. La gestione dei Big Data con tecniche di intelligenza artificiale rappresenta il core business di Hopenly.;Reggio Emilia;Emilia-Romagna;Automotive, Economia e Finanza / Fintech /Assicurazioni, Pubblicità / Marketing, Ricerca Applicata / Statistica, Sicurezza / Cybersecurity;si, la usa, si, la fornisce;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Cognitive Cybersecurity;Fornisco;;;Utilizzo, Fornisco;Fornisco;;;;Fornisco;;;Talend;Cineca;Teradata ;Politecnico di Torino;Cineca;Ospedale Casa Cammino della Sofferenza;;;;;;;
34;Magneticast;Azienda;http://www.magneticast.com;Monitoraggio comportamento d'acquisto dei clienti dentro il punto vendita e proposizione di offerte basate sullo storico degli acquisti;Acireale (CT);Sicilia;Pubblicità / Marketing, Retail;si, la usa;Computer Vision, Machine/Deep Learning;Utilizzo;Utilizzo;Utilizzo, Fornisco;;;;;;;;; -;-;-;-;-;-;;;;;;;
35;IASI CNR;Centro di Ricerca;http://www.iasi.cnr.it;Gruppo di ricerca nell'Istituto di Analisi dei Sistemi e Informatic del CNR;Roma;Lazio;Ricerca di base e applicata;si, la fornisce;Motore di ricerca semantico;;;;;;;;;;;Utilizzo, Fornisco;Engineering;Expert Systems;CNR;Expert Systems;Link;AGID;;;;;;;
36;Gruppo Pragma;Azienda;http://www.gruppopragma.it;Gruppo Pragma opera nel settore del digital learning e del knowledge management. Dal 2007, a partire da una ricerca europea, sviluppa agenti conversazionali (Chatbot), con una propria piattaforma “Intoote”e con altre tecnologie. La società si è specializzata nell’ambito del chatbot design, NLI e UX.;Trieste;Friuli Venezia Giulia;Educazione;si, la fornisce;Elaborazione Linguaggio Naturale, Chatbot;;;;;;;;;;;Fornisco;Microsoft;Vetrya ;AWHY;Vetrya;AWHY;Microsoft;;;;;;;
